Fichier;Titre;2e titre;Titre original;Compositeur;Auteur;Tonalité;Format;Copyright;Référence;Thème;Air du;Vol.
JEM497;Seigneur, tu es ma force;Et je veux te donner mon cœur;The Lord is my strength (Exodus XV);Frank Gallian;Frank Gallian;Ré;"2x1 voix ; 2x2 voix";© Mercy/Vineyard Publishing/Song Solutions CopyCare France/LTC;;Adoration;;2
JEM498;Seigneur, tu nous vois;;;Danie Hurtrel;Danie Hurtrel;Fa;"1 voix ; 2x2 voix";© 1986 Danie Hurtrel;;Louange;;2
JEM499;Son sang efface;Car la loi de la grâce;No condemnation;Charles F. Monroe;Charles F. Monroe;Fa;1 voix;© 1973 Integrity's Hosanna! Music/LTC;;Louange;;2
JEM500;Si je crois en toi;Si je viens vers toi;;François Reymond;François Reymond;Mi;1 voix;© 1993 François Reymond;;Engagement;;2
JEM501;Souffle;Rends-nous souples devant toi;Spirit Holy Wind;Patti Ridings;Patti Ridings;Sol;"2x2 voix ; 2x1 voix";© 1989 Patti Ridings/LTC;;Saint-Esprit;;2
JEM502;Soyons une lumière;;Song for the nations;Chris Christensen;Chris Christensen;Sib;2x2 voix;© 1986 Integrity's Hosanna! Music/LTC;;Engagement;;2
JEM503;Ta fidélité;Ta fidélité, Seigneur;;François Nadler;François Nadler;"Mib ; Mi";1 voix;© 1993 Jeunesse en Mission;;Dieu;;2
JEM504;Toi, lève-toi !;Dieu est avec toi;;Mady Ramos;Mady Ramos;Do;1x3 voix + piano;© 1992 Mady Ramos;;Combat spirituel;;2
JEM505;Toi, Seigneur mon secours;;Thou O Lord art a shield about me;"Don Thomas ; Charles William";"Don Thomas ; Charles William";Ré;1 voix;© 1980 Word Music LLC/Song Solutions CopyCare France/LTC;;Adoration;;2
JEM506;Ton nom;Solide comme le roc;;Rolf Schneider;Rolf Schneider;Mi;1 voix;© 1992 Rolf Schneider;;Intimité;;2
JEM507;Ton amour, ta puissance;Et je veux t'adorer;More love, more power;Jude del Hierro;Jude del Hierro;Solm;"1 voix ; 2x2 voix";© 1978 Mercy/Vineyard Publishing/Song Solutions CopyCare France/LTC;;Adoration;;2
JEM508;Tu es Dieu;Et ton trône est élevé;Highest place;Ramon Pink;Ramon Pink;Ré;1 voix + piano;© 1983 Scripture in Song/Maranatha Music/Song Solutions CopyCare France/LTC;;Adoration;;2
JEM509;Tu es le Maître;Je veux vivre libre de moi-même;You are the master;"Thierry Ostrini ; Chris Christensen";"Thierry Ostrini ; Chris Christensen";Sol;1 voix;© 1991 Integrity's Hosanna! Music/LTC;;Adoration;;2
JEM510;Tu es mon père;Tu poses ton regard sur moi;;Jeunesse en Mission;Jeunesse en Mission;Fa;1 voix;© 1993 Jeunesse en Mission;;Adoration;;2
JEM511;Tu es mon rocher;Dieu est pour moi un refuge;;Sylvain Freymond;Sylvain Freymond;Mo;1 voix;© 1992 Sylvain Freymond;;Foi et confiance;;2
JEM512;Tu es saint, Agneau de Dieu;Je t'exalte;Lamb of God;Chris Bowater;Chris Bowater;La;1x2 voix + piano;© 1988 Sovereign Music UK/LTC;;Adoration;;2
JEM513;Unis nos cœurs;Nous venons en ton nom;Join our hearts - Lord we come;Graham Kendrick;Graham Kendrick;Do;"1 voix ; 1x2 voix";© 1991 Make Way Music/LTC;;Unité;;2
JEM514;Un si grand miracle;Dieu, quel amour;Lord in your faithfulness;David & Rebecca Durham;David & Rebecca Durham;La;1 voix;© 1992 David Durham;;Louange;;2
JEM515;Venez bâtissons;Résistons ensemble;;Sylvain Freymond;Sylvain Freymond;Mib;"2+1 voix ; 1 voix";© 1993 Sylvain Freymond;;Adoration;;2
JEM516;Venez le célébrer;;Come on and celebrate;Patricia Morgan;Patricia Morgan;Sol;1 voix;© 1984 Kingswaysongs/Thankyou Music/LTC;;Joie et célébration;;2
JEM517;Voyez Jésus;Oui, tu es glorieux;For you are glorious;David W. Morris;David W. Morris;Do;2x2 voix;© 1988 Integrity's Hosanna! Music/LTC;;Adoration;;2
JEM518;À l'Agneau sur son trône ;;Diademata;George Job Elvey;Ruben Saillens;Ré;2x2 voix;© R. Saillens et G. Elvey  ;;Adoration;AF062;2
JEM519;À l'Agneau de Dieu;Élevé à la droite de Dieu;;Elisabeth Bourbouze;Elisabeth Bourbouze;Rém;1 voix;© 1993 Elisabeth Bourbouze/LTC;;Adoration;;2
JEM520;Allons auprès de Dieu;;Let us draw near;David Fellingham;David Fellingham;Do;"1 voix ; 1x2 voix";© 1992 Kingswaysongs/Thankyou Music/LTC;;Adoration;;2
JEM521;Auprès de Dieu;C'est auprès de Dieu;;Charly & Isabelle Siounath;Charly & Isabelle Siounath;La;1 voix;© 1993 Charly et Isabelle Siounath;;Adoration;;2
JEM522;Avec ton Esprit;;;David Durham;David Durham;Mi;1 voix;© 1995 David Durham;;Saint-Esprit;;2
JEM523;Béni soit le nom;Le nom du Seigneur est un refuge;Blessed be the name;Simon Utterbach;Simon Utterbach;Mi;1 voix;© 1988 Universal PolyGram/Small stone Media/LTC;;Foi et confiance;;2
JEM524;Brise-moi;Il faut que tu grandisses;;Lydie Ramasco;Lydie Ramasco;Rém;1 voix;© 1994 Lydie Ramasco;;Consécration;;2
JEM525;Car Dieu a fait le serment;Et de marcher devant Lui;;Sylvain Freymond;Sylvain Freymond;Rém;1 voix;© 1995 Sylvain Freymond;;Combat spirituel;;2
JEM526;Chaque jour;Non, je ne pourrais pas;;François Reymond;François Reymond;Rém;1 voix;© 1994 François Reymond;;Engagement;;2
JEM527;Combien tu es digne;Tes œuvres sont grandes et admirables;;Fabienne Pons;Fabienne Pons;Sim;1 voix;© 1981 Fabienne Pons/LTC;;Dieu;;2
JEM528;En mon nom;Allez dans le monde entier;;Rolf Schneider;Rolf Schneider;Sol;1 voix;© 1994 Rolf Schneider;;Combat spirituel;;2
JEM529;Dieu de lumière;Lève-toi mon âme pour le rencontrer;God of light;David Durham;David Durham;Mi;"1x2 voix ; 2x1 voix";© 1993 David Durham et François Reymond;;Dieu;;2
JEM530;Je continuerai;Dans ce désert de lassitude;;David Durham;David Durham;Sol;"1 voix ; 1x3 voix";© 1994 David Durham et François Reymond;;Consécration;;2
JEM531;Je magnifierai;Je chanterai pour toi, Seigneur;I will magnyfy;Scott Palazzo;Scott Palazzo;Do;1 voix;© 1985 Mercy/Vineyard Publishing/Song Solutions CopyCare France/LTC;;Adoration;;2
JEM532;Je te veux dans mon cœur;Je t'ai déjà résisté si souvent;;François Reymond;François Reymond;Sib;1 voix;© 1995 François Reymond;;Consécration;;2
JEM533;Je veux me rassasier;Quand je t'invoque tu me réponds;;Rolf Schneider;Rolf Schneider;Mim;1 voix;© 1994 Rolf Schneider;;Foi et confiance;;2
JEM534;L'Eternel Dieu au milieu de toi;;The lord thy God;Blane Morris;Blane Morris;Ré;1 voix;© 1986 Integrity's Hosanna! Music/LTC;;Dieu;;2
JEM535;La trompette sonne;;;Corinne Lafitte;Corinne Lafitte;Do;1 voix;© 1994 Corinne Lafitte;;Appel;;2
JEM536;Manifeste ta présence;Seigneur, viens ranimer;;David Durham;David Durham;Fa#m;"1 voix ; 1x3 voix";© 1994 David Durham;;Consécration;;2
JEM537;Nous entrons dans ta présence;;;Emmanuel Paterne;Emmanuel Paterne;Solm;"1 voix ; 1x3 voix";© 1992 Emmanuel Paterne/LTC;;Adoration;;2
JEM538;Nous marchons;;;Sylvain Freymond;Sylvain Freymond;Do;1 voix;© 1995 Sylvain Freymond;;Proclamation;;2
JEM539;Ouvrez les portes;Annoncez le Roi;;Judith Ann Robertson;Judith Ann Robertson;Sol;1 voix;© 1993 Judith Robertson/LTC;;Jésus-Christ;;2
JEM540;Nous tiendrons;Seigneur, tu m'as choisi;We shall stand;Graham Kendrick;Graham Kendrick;Fa;1 voix;© 1988 Make Way Music/LTC;;Engagement;;2
JEM541;O Dieu;Dans le temple, je t'ai cherché du regard;;François Reymond;François Reymond;"Ré ; Sib";1 voix;© 1994 François Reymond;;Adoration;;2
JEM542;Pour la durée des temps;L'Éternel règne;;Fabienne Pons;Fabienne Pons;Fa;1 voix;© 1989 Fabienne Pons/LTC;;Adoration;;2
JEM543;Peuple de Dieu, lève tes yeux;;;Jean-François Bussy;Jean-François Bussy;Solm;2x2 voix;© 1993 Jean-François Bussy;;Proclamation;;2
JEM544;Pousse un cri de joie;C'est lui qui me délivre;;Fabienne Pons;Fabienne Pons;Fa;1 voix;© 1993 Fabienne Pons/LTC;;Joie et célébration;;2
JEM545;Remplis-moi;J'ai tant besoin de ton Esprit;;Philippe Bieri;Philippe Bieri;Do;1 voix;© 1994 Philippe Bieri International - Copyright Secured;;Consécration;;2
JEM546;Revêts-moi;Je me réjouirai en ta présence;;Sylvain Freymond;Sylvain Freymond;Mim;1 voix;© 1995 Sylvain Freymond;;Joie et célébration;;2
JEM547;Roi des nations;Venez, adorons le Seigneur;King of the nations;Graham Kendrick;Graham Kendrick;Sol;1 voix + piano;© 1992 Make Way Music/LTC;;Adoration;;2
JEM548;Sentinelle;Je suis vivant;;Rolf Schneider;Rolf Schneider;Lam;1 voix;© 1994 Rolf Schneider;;Appel;;2
JEM549;Sois heureux;Laissez éclater votre joie;;Charly Siounath;Charly Siounath;Sol;1 voix;© 1993 Charly Siounath;;Exhortation;;2
JEM550;Souffle des quatre vents;Viens, Esprit de Dieu;;Etienne Rochat;Etienne Rochat;Do;1 voix;© 1993 Etienne Rochat;;Saint-Esprit;;2
JEM551;Tout à toi;Prends mes pensées;;Sylvain Freymond;Sylvain Freymond;Ré;1 voix;© 1994 Sylvain Freymond;;Consécration;;2
JEM552;Toute arme;Toute arme forgée contre toi;;Rolf Schneider;Rolf Schneider;Mi;1 voix;© 1994 Rolf Schneider;;Combat spirituel;;2
JEM553;Tu es venu jusqu'à nous;Dieu tout-puissant, Roi serviteur;From heaven you came (The servant king);Graham Kendrick;Graham Kendrick;Dom;1 voix;© 1983 Kingswaysongs/Thankyou Music/LTC;;Consécration;;2
JEM554;Tu n'as pas attendu;Reçois ma reconnaissance;I'm forever grateful;Mark Altrogge;Mark Altrogge;La;1 voix;© 1986 Sovereign Grace Praise/Integrity's Hosanna! Music/LTC;;Adoration;;2
JEM555;Une chose;Une chose que je désire ardemment;;David Durham;David Durham;Ré;"1 voix ; 2+1 voix";© 1994 David Durham;;Adoration;;2
JEM556;Viens, Saint-Esprit;Souffle sur moi;;Elisabeth Bourbouze;Elisabeth Bourbouze;Mi;1 voix;© 1995 Elisabeth Bourbouze/LTC;;Saint-Esprit;;2
JEM557;Vous, les puissances du ciel;Courbez-vous jusqu'à terre;;Sylvain Freymond;Sylvain Freymond;Rém;1 voix;© 1993 Sylvain Freymond;;Combat spirituel;;2
JEM558;Bénissez le Seigneur;Levez vos mains vers lui;Erev Shel Shoshanim;Iosef Hadar;Iosef Hadar;Rém;1 voix;© Hed Azri Publishing House, Or Yehouda, 60376 Israël;;Israël;;2
JEM559;Célébrez Jésus;Ressuscité, il est vivant;Celebrate Jesus;Gary Oliver;Gary Oliver;Fa;1 voix;© 1988 Integrity's Hosanna! Music/LTC;;Jésus-Christ;;2
JEM560;Celui qui veille sur Israël;;He that watches over Israël;Merla Watson;Merla Watson;Dom;1 voix;© Catacombs Productions/Song Solutions CopyCare/LTC;;Israël;;2
JEM561;C'est Dieu seul qui peut nous sauver;Force et puissance;Salvation belongs to our God;"Pat Turner ; Adrian Howard";"Pat ; Howard, Adrian Turner";La;1 voix;© 1985 Restoration Music/Sovereign Music UK/LTC;;Confession;;2
JEM562;C'est le temps de l'amour;Un chant nouveau a jailli;;Fabienne Pons;Fabienne Pons;Fa;1 voix;© 1996 Fabienne Pons/LTC;;Adoration;;2
JEM563;C'est par la grâce;Si tu comptais tous nos péchés;Only by grace;Gerrit Gustafson;Gerrit Gustafson;Do;1 voix;© 1990 Integrity's Hosanna! Music/LTC;;Adoration;;2
JEM564;Comme l'eau d'un ruisseau;Je viens vers toi;;Sylvain Freymond;Sylvain Freymond;Sib;1 voix;© 1996 Sylvain Freymond;;Adoration;;2
JEM565;Dans la maison du père;Nous levons nos mains vers toi Seigneur;;Jean-François Bussy;Jean-François Bussy;Fa;2x2 voix;© 1996 Jean-François Bussy;;L'Eglise;;2
JEM566;Dans ta présence;Esprit Saint, descends sur nous;;Etienne & Lydia Rochat;Etienne & Lydia Rochat;Mi;1 voix;© 1996 Etienne Rochat;;Saint-Esprit;;2
JEM567;Dans ton temple;Nous élevons ton nom, Elohim;In your temple;Elisheva Shomron;Elisheva Shomron;Rém;1 voix;© 1997 Elisheva Shomron;;Israël;;2
JEM568;Écoute Israël;Shma, Israël;;Inconnu;Inconnu;Rém;1 voix;© 1998 Corinne Lafitte;;Israël;;2
JEM569;Encore plus de toi;;;Luc Dumont;Luc Dumont;Do;1 voix;© 1992 Ministère Eaux Vives;;Jésus-Christ;;2
JEM570;Entends mon cœur;Comment expliquer;Hear my heart;Geoff Moore;Geoff Moore;Mi;1 voix;© 1977 Mercy Publishing/Song Solutions CopyCare France/LTC;;Adoration;;2
JEM571;Éternel, notre Seigneur;Par la bouche des petits;;"Thierry Ostrini ; Chris Christensen";"Thierry Ostrini ; Chris Christensen";Sol;1 voix;© 1996 Chris Christensen/LTC;;Dieu;;2
JEM572;Feu du fondeur;Purifie mon cœur;Refiner's fire;Brian Doerksen;Brian Doerksen;Mi;"1 voix ; 1x3 voix";© 1990 Vineyard music UK/SONGS Solution CopyCare/LTC;;Consécration;;2
JEM573;Hosanna;Ouvrons les portes;Hosanna - Open the Gate;"Thierry Ostrini ; Chris Christensen";"Thierry Ostrini ; Chris Christensen";Mi;1 voix;© 1994 Integrity's Hosanna! Music/LTC;;Joie et célébration;;2
JEM574;Il régnera sur toute la terre;Sortant de la souche de Jessé;He shall reign;Paul Wilbur;Paul Wilbur;Fa;1 voix;© 1991 Integrity's Hosanna! Music/LTC;;Israël;;2
JEM575;Je connais le créateur;;;"Thierry Ostrini ; Chris Christensen";"Thierry Ostrini ; Chris Christensen";Mib;1 voix;© 1991 Chris Christensen/LTC;;Adoration;;2
JEM576;Je loue ton nom;Tu viens du ciel sur la terre;Lord, I lift your name on hight;Rick Founds;Rick Founds;Sol;1 voix + piano;© 1989 Maranatha Praise Inc./Maranatha! Music/Song Solutions CopyCare France/LTC;;Jésus-Christ;;2
JEM577;La prière d'Habacuc;Seigneur, je sais tant de toi;;David Durham;David Durham;La;1 voix + tempo;© 1996 David Durham et François Reymond;;Adoration;;2
JEM578;Le Dieu de victoire;Le Dieu de victoire habite en moi;I've got the victor living in me;Dave Bell;Dave Bell;Rém;1 voix;© 1992 Dancing Heart Music/Word Music LLC/Song Solutions CopyCare/LTC;;Combat spirituel;;2
JEM579;Merveilleux Seigneur;;Magnificent God;Dave Bell;Dave Bell;Rém;1 voix;© 1992 Dancing Heart Music/Word Music LLC/Song Solutions CopyCare/LTC;;Adoration;;2
JEM580;Mon cœur s'incline;;Bowing my heart;Paul Baloche;Paul Baloche;Ré;1 voix + piano;© 1992 Integrity's Hosanna! Music/LTC;;Dieu;;2
JEM581;Nous adorons Adonaï;D'un même cœur pour le Seigneur;;Jean-Luc Attias;Jean-Luc Attias;Mim;1 voix;© 1995 Jean-Luc Attias/777 Productions;;Adoration;;2
JEM582;Nous prions pour la paix;Jérusalem, la ville de paix;;Inconnu;Inconnu;Dom;1 voix;© 1997 Adaptation française Corinne Lafitte;;Israël;;2
JEM583;Nous te couronnons;Sois couronné, élevé;We enthrone you;Marcos Witt;Marcos Witt;Sol;1 voix;© Canzion Group LP;;Joie et célébration;;2
JEM584;Nous voulons vivre l'unité;Tous ensemble;;Sylvain Freymond;Sylvain Freymond;Do;1 voix;© 1996 Sylvain Freymond;;Unité;;2
JEM585;Nous voulons voir Jésus élevé;;We want to see Jesus lifted high;Doug Horley;Doug Horley;Sol;1 voix;© 1993 Kingswaysongs/Thankyou Music/LTC;;Jésus-Christ;;2
JEM586;Oui, Dieu règne;Devant lui marche un feu puissant;The Lord reigns;Dan Stradwick;Dan Stradwick;Ré;1 voix;© 1980 Scripture in song/Maranatha Music/Song Solutions CopyCare France/LTC;;Combat spirituel;;2
JEM587;Oh ! viens devant le saint trône;;;Inconnu;Inconnu;Do;2x2 voix;;;Adoration;;2
JEM588;Père;Père, oui, tu es mon Père;Father;Danny Daniels;Danny Daniels;La;1 voix;© 1989 Mercy/Vineyard Publishing/Song Solutions CopyCare France/LTC;;Adoration;;2
JEM589;Plonge-moi dans ta rivière;Mon âme est rafraîchie;Soak me in the river;Chris Bowater;Chris Bowater;Mim;1 voix + piano;© 1995 Sovereign Music UK/LTC;;Saint-Esprit;;2
JEM590;Que l'esprit de vérité;Notre Père qui es aux cieux;;Corinne Lafitte;Corinne Lafitte;Rém;1 voix;© 1996 Corinne Lafitte;;Dieu;;2
JEM591;Règne en moi;Libre de nos chaînes;;"Thierry Ostrini ; Chris Christensen";"Thierry Ostrini ; Chris Christensen";Sol;1 voix;© 1995 Chris Christensen/LTC;;Consécration;;2
JEM592;Réjouis-toi, fille de Sion;Tous tes péchés ont été effacés;Roni roni bat Zion;David Loden;David Loden;Solm;1 voix;© 1997 Integrity's Hosanna! Music/LTC;;Israël;;2
JEM593;Réveille l'amour;Ton nom est du miel;;Elisabeth Bourbouze;Elisabeth Bourbouze;Mi;1 voix;© 1996 Elisabeth Bourbouze/LTC;;Consécration;;2
JEM594;Son nom est plus grand;;He has been given;David Fellingham;David Fellingham;Sol;2x2 voix;© 1992 Kingswaysongs/Thankyou Music/LTC;;Jésus-Christ;;2
JEM595;Ta bienveillance;J'écouterai ce que dit Dieu;;"Thierry Ostrini ; Chris Christensen";"Thierry Ostrini ; Chris Christensen";Do;1 voix;© 1995 Chris Christensen/LTC;;Foi et confiance;;2
JEM596;Tabernacle au milieu;;Tabernacle in the midst;Kirk Dearman;Kirk Dearman;Sol;1 voix;© 1998 Kirk Dearman;;Israël;;2
JEM597;Tel que je suis;Tu es mon père;;François Reymond;François Reymond;La;1 voix;© 1997 François Reymond;;Consécration;;2
JEM598;Toute cité;Toute cité va chanter;Pata Pata;Myriam Makeba;Bene Müller;Mi;1 voix + tempo;© 1987 Budde Music Inc, Abekam Music - Pata Pata, music and lyrics by Miriam Makeba, Jerry Ragovoy;;Jésus-Christ;;2
JEM599;Tu es Dieu au-dessus de la terre;;;Jean-Charles Edouard;Jean-Charles Edouard;Sol;1 voix;© 1994 Jean-Charles Edouard/777 Productions;;Proclamation;;2
JEM600;Tu es le plus beau;Des paroles pleines de charme;;Elisabeth Bourbouze;Elisabeth Bourbouze;Mim;1 voix;© 1996 Elisabeth Bourbouze/LTC;;Adoration;;2
JEM601;Tu es le roi de gloire;;You are the king of glory;David Loden;David Loden;Rém;1 voix;© 1977 Integrity's Hosanna! Music/LTC;;Israël;;2
JEM602;Tu es puissant;Alléluia, soyons dans la joie !;You are mighty;Craig Musseau;Craig Musseau;Lam;1 voix;© 1989 Vineyard music UK/SONGS Solution CopyCare/LTC;;Combat spirituel;;2
JEM603;Tu es saint;Kadosh;Kadosh Kadosh;Elisheva Shomron;Elisheva Shomron;Lam;1 voix;© 1995 Elisheva Shomron;;Adoration;;2
JEM604;Venez louer le Seigneur;;;Rachel Boski;Rachel Boski;Lam;1 voix;© Rachel Boski;;Israël;;2
JEM605;À ton nom donne gloire;Non pas à nous;;Elisabeth Bourbouze;Elisabeth Bourbouze;Fa;1 voix + tempo;© 1997 Elisabeth Bourbouze/LTC;;Louange;;2
JEM606;Avec toi;Avec toi librement;;Sylvain Freymond;Sylvain Freymond;Rém;1 voix;© 1998 Sylvain Freymond;;Adoration;;2
JEM607;Bondissez de joie;Son amour infini n'a pas de fin;;"Thierry Ostrini ; Chris Christensen";"Thierry Ostrini ; Chris Christensen";Do;1 voix + tempo;© 1996 Chris Christensen/LTC;;Joie et célébration;;2
JEM608;Chantons;Chantons, car Dieu est là;Sing out;"Ed Kerr ; Paul Baloche";"Ed ; Baloche, Paul Kerr";La;1 voix;© 1995 Integrity's Hosanna! Music/LTC;;Foi et confiance;;2
JEM609;Couvre-moi;Comme ton souffle planait sur les eaux;;David Durham;David Durham;Do;1 voix + tempo;© 1998 David Durham et François Reymond;;Intimité;;2
JEM610;Crier à toi;Comme soupire une biche;;François Reymond;François Reymond;Fa#m;1 voix;© 1998 François Reymond;;Foi et confiance;;2
JEM611;De tout mon cœur;Je veux t'aimer Seigneur;;Rolf Schneider;Rolf Schneider;Do;1 voix;© 1999 Rolf Schneider;;Consécration;;2
JEM612;Dieu fidèle;Tu ne changes pas;Faithful One;Brian Doerksen;Brian Doerksen;Ré;1 voix;© 1989 Vineyard music UK/SONGS Solution CopyCare/LTC;;Dieu;;2
JEM613;Dieu ne nous a pas donné;L'amour pour nous aimer;;2 Timothée 1 v 7;Youth Alive;Solm;1 voix;© Chris Falson;2 Timothée 1v7;Confession;;2
JEM614;Digne es-tu;Dieu de gloire;;"Thierry Ostrini ; Chris Christensen";"Thierry Ostrini ; Chris Christensen";Do;1 voix;© 1994 Integrity's Hosanna! Music/LTC;;Adoration;;2
JEM615;Dites-le fort;Entendez tous l'appel;Say it loud;Graham Kendrick;Graham Kendrick;La;1 voix;© 1996 Make Way Music/LTC;;Evangélisation;;2
JEM616;Éternité;Je serai à toi, tu seras à moi;Eternity;Brian Doerksen;Brian Doerksen;La;1 voix;© 1994 Vineyard music UK/SONGS Solution CopyCare/LTC;;Adoration;;2
JEM617;El Olam;D'âge en âge, tu es Dieu;;Linda Panci-McGowen;Linda Panci-McGowen;Mi;2x2 voix;© 1996 Panci-McGowen Linda;;Dieu;;2
JEM618;El Shaddaï;Dieu, tu fortifies ton peuple;;Linda Panci-McGowen;Linda Panci-McGowen;Do;1 voix + piano;© 1997 Panci-McGowen Linda;;Dieu;;2
JEM619;Embrase ma vie;Ravive mon amour;Light the fire again;Brian Doerksen;Brian Doerksen;Fa;1 voix + tempo;© 1994 Mercy/Vineyard Publishing/Song Solutions CopyCare France/LTC;;Consécration;;2
JEM620;Fais jaillir;Je désire rester ferme;;Francine Chabloz;Francine Chabloz;Mi;1 voix;© Francine Charton;;Louange;;2
JEM621;Faisons monter;A nous la force;;Raphaël Fernandez;Raphaël Fernandez;Mim;2x2 voix;© 1997 Raphaël Fernandez/LTC;;Louange;;2
JEM622;Hommes de ce pays;Seigneur, unis ce pays;;Jean-François Bussy;Jean-François Bussy;Fa#m;1+2 voix;© 1997 Harmony Musique;;Unité;;2
JEM623;J'ai soif de ta présence;Chaque jour, à chaque heure;I need the every hour;David Durham;Auguste Glardon;Fa;1 voix + tempo;© 1998 David Durham;;Consécration;;2
JEM624;J'attirerai;Je guérirai les cœurs brisés;;Etienne Rochat;Etienne Rochat;Fa;1 voix;© 1997 Etienne Rochat;;Appel;;2
JEM625;Je lève les yeux;Vers le Dieu de mon salut;;"Thierry Ostrini ; Chris Christensen";"Thierry Ostrini ; Chris Christensen";Sol;1 voix;© 1995 Chris Christensen/LTC;;Espérance;;2
JEM626;Je veux chanter un chant d'amour;Dans tes bras d'amour;Arms of love;Craig Musseau;Craig Musseau;Sol;1 voix + tempo;© 1991 Mercy/Vineyard Publishing/Song Solutions CopyCare France/LTC;;Adoration;;2
JEM627;Jésus régnera;L'évangile est annoncé;Jesus will reign;Rick Ridings;Rick Ridings;"Sol ; Lab";1 voix;© 1990 Ariose Music/Small stone Media/LTC;;Jésus-Christ;;2
JEM628;Jésus, toi la perle précieuse;Tu es mon seul bien;Precious pearl;Scott Brenner;Scott Brenner;Sol;1 voix + tempo;© 1995 Mercy/Vineyard Publishing/Song Solutions CopyCare France/LTC;;Intimité;;2
JEM629;Jour de faveur;Que cette huile se répande;Day of favour;David Fellingham;David Fellingham;Ré;1 voix;© 1995 Kingswaysongs/Thankyou Music/LTC;;Proclamation;;2
JEM630;La seule source d'eau vive;Je veux, avec foi;;Bene Müller;Bene Müller;Sol;1 voix;© 1993 Basilea Music;;Foi et confiance;;2
JEM631;Laisse couler ton fleuve;Du trône de l'Agneau;;Jean-Charles Edouard;Jean-Charles Edouard;Mi;1 voix;© 1997 Jean-Charles Edouard/777 Productions;;Appel;;2
JEM632;Le Seigneur règne;Alléluia, le Seigneur règne;The Lord almighty reigns;Terry Butler;Terry Butler;Mi;1 voix;© 1994 Mercy/Vineyard Publishing/Song Solutions CopyCare France/LTC;;Proclamation;;2
JEM633;Le fleuve de Dieu;Des sommets, le torrent descend;The river is here;Andy Park;Andy Park;Sol;1x3 voix;© 1994 Mercy/Vineyard Publishing/Song Solutions CopyCare France/LTC;;Engagement;;2
JEM634;Lent à la colère;O Seigneur, tu es un Dieu de grâce;;Elisabeth Bourbouze;Elisabeth Bourbouze;Ré;1 voix;© 1997 Elisabeth Bourbouze/LTC;;Dieu;;2
JEM635;Louons et adorons;Notre Dieu tout puissant;;Yannick Delessert;Fish For Lunch;La;1 voix;© 1998 Yannick Delessert;;Louange;;2
JEM636;Louez le Roi;Sur terre, quelle obscurité;Worship the king;Billy Funk;Billy Funk;Sol;1 voix + tempo;© 1988 Integrity's Praise Music/Integrity's Hosanna! Music/Small Stone Media/LTC;;Exhortation;;2
JEM637;Me réjouir;Je veux fêter;;Philippe Delalande;Philippe Delalande;Sol;1 voix + tempo;© 1997 Philippe Delalande/LTC;;Joie et célébration;;2
JEM638;Nous élevons le nom de Jésus;;;Sylvain Freymond;Sylvain Freymond;Rém;1 voix;© 1998 Sylvain Freymond;;Combat spirituel;;2
JEM639;Nous tous, qui reflétons;;;Elisabeth Bourbouze;Elisabeth Bourbouze;Ré;1 voix + tempo;© 1994 Elisabeth Bourbouze/LTC;;Dieu;;2
JEM640;Oh ! Jésus, mon Sauveur;;My Jesus, My Saviour - Shout to the Lord;Darlene Zschech;Darlene Zschech;Sib;2x2 voix;© 1993 Darlene Zschech/Hillsong Publishing;;Adoration;;2
JEM641;Pardon;Pardon d'avoir jugé;;François Reymond;François Reymond;Mim;1 voix;© 1998 François Reymond;;Repentance;;2
JEM642;Pardon, Seigneur, pardon;;;Sylvain Freymond;Sylvain Freymond;Rém;1 voix;© 1998 Sylvain Freymond;;Repentance;;2
JEM643;Père des lumières;Tout don parfait;Father of lights;John Barnett;John Barnett;La;1 voix;© Mercy/Vineyard Publishing/Song Solutions CopyCare France/LTC;;Dieu;;2
JEM644;Premier amour;Mon premier amour;;Rolf Schneider;Rolf Schneider;Fa;1 voix;© 1998 Rolf Schneider;;Adoration;;2
JEM645;Près de toi;Dieu est bon, juste et parfait;;R. Muskinson;R. Muskinson;Mi;1 voix;© 1999 EMI/Zadok Worship Publishing BMI;;Adoration;;2
JEM646;Quand je regarde;Je veux te louer de tout mon cœur;;Emmanuel Paterne;Emmanuel Paterne;Fa;1 voix;© 1997 Emmanuel Paterne/LTC;;Adoration;;2
JEM647;Que ces lieux soient visités;;;Corinne Lafitte;Corinne Lafitte;Ré;1 voix;© 1998 Corinne Lafitte;;Prière;;2
JEM648;Shalom;Que la paix soit sur toi;;Rolf Schneider;Rolf Schneider;Sol;1 voix;© 1999 Rolf Schneider;;Partage;;2
JEM649;Rebâtir ta maison;Aide-nous à rebâtir ta maison;;Judith Ann Robertson;Judith Ann Robertson;Sib;1 voix;© 1995 Judith Ann Robertson/LTC;;L'Eglise;;2
JEM650;Seigneur, tu es ma référence;;;Rose Medza-Minko;Rose Medza-Minko;Ré;1 voix;© 1996 Rose Medza-Minko/Chants d'amour pour le Roi des rois;;Louange;;2
JEM651;Somlandela;Je te suivrai;;Inconnu;Inconnu;La;1x3 voix;;;Appel;;2
JEM652;Ta miséricorde;Ta miséricorde dépasse ta justice;;Christophe Berly;Christophe Berly;Ré;1 voix;© 1995 Christophe Berly/LTC;;Reconnaissance;;2
